Tweet,Tweet Length
@msaid_didu Mestinya yg di push total bukan di pak @prabowo atau pak @jokowi saja. Justru dng duduknya orang lama di kabinet baru bisa di jadikan peluang membuka borok kerjaan-kerjaan mereka kemarin. Caranya gmn? Yaa caranya push total supaya perangkat hukum biar sehat dan bisa kerja nyata ! https://t.co/WhgOrtDIMP,48
Melht siprabowo tersandera olh jokowi+9 naga dlm menyusun kabinet bs dipstkn rejim siprabowo lbh zlm lg dr rejim jokowi krn: 1. Si prabowo jd RI1 diduga melalui kemngn palsu hsl rkys jkw itu jd snjt sijokowi menyndra siprabowo 2. Siprabowo bkl jd boneka br utk kepentgn cina,47
@BosPurwa @prabowo Cukup lengkap pengantar pembuka rapat kabinet perdana oleh Presiden....hanya dlm video ini tidak ada sama sekali menyinggung tentang IKN dan bagaimana rencana kedepannya! Dan siapa menteri penanggung jawab percepatan penyelesaian IKN ? Apakah langsung ditangani wapres? ,38
@Bambangmulyonoo kalo cuman tegas di ucapan tapi tidak dengan tindakan itu namanya omon-omon... tuh wapres blm rapat kabinet pertama dah pencitraan...,21
Melht siprabowo tersandera olh jokowi+9 naga dlm menyusun kabinet bs dipstkn rejim siprabowo lbh zlm lg dr rejim jokowi krn: 1. Si prabowo jd RI1 diduga melalui kemngn palsu hsl rkys jkw itu jd snjt sijokowi menyndra siprabowo 2. Siprabowo bkl jd boneka br utk kepentgn cina,47
Mau kedatangan TIM kabinet Gemoy vibes magelang dah terasa beda ,10
@awang_tahir @MuhyiddinYassin @abdulhadiawang @hamzahzainudin_ @PPBMofficial @PNRasmiMY @PASPusat @harakahdailyHD Buat kabinet bayangan nak mintak duit. Macam la tak ada gaji jadi Mp selama ni. Diminta bajet alternatif jadi mcm si badrul la pulak... https://t.co/ExIK8o3xbF,33
POLITIK KOMPRO(MISTIK) ______________________ Presiden memainkan gestur bijak dgn mengakomodir semua kepentingan. Hak prerogatif sbg hak konstitusional akan dipakainya 100 hari usia kabinet. Yg layak lanjut yg tak layak out. Misi tegas pak Presiden @prabowo di tunggu. ,36
@Adiprayitno_20 Apa yang bisa diharapkan dari kabinet macam ini?,9
@Opiniku95098012 @bpkri kabinet dwikora ll di orba lebih banyak lagi 132 personal,12
@NarasiNewsroom Satu kata pecat menteri aji mumpung ini wahai pak @prabowo agar nyata kabinet anda hanya diisi oleh orangÂ² bersih dan berintegritas,22
Kabinet Merah Putih mungkinkah namanya kombinasi dari jiwa patriotisme serta jiwa kebegawanan dari darah 2 orang begawan ekonom yang pernah dimiliki bangsa ini yaitu kakek serta bapak pak @prabowo,29
 birokrasi kita terkenal ribetnya dan...... kalo dgn kabinet yg rungkad ini bukannya malah tambah ribet?,15
@Pemburu_Celeng @Opiniku95098012 @bpkri Tempe lagi kepercayaan 16 dan 24 Kabinet tergemuk orba dwikora ll menterinya 132 personal hayo gimana tu,20
Pesan TEGAS Pak Prabowo Subianto Presiden RI di sidang Kabinet Perdana didampingi Mas fufufafa... Ape loe ðŸ‡®ðŸ‡© ,17
Rabu 23 Oktober 2024...Sidang Paripurna Perdana Kabinet Merah Putih....ï¸ðŸ‡®ðŸ‡© https://t.co/gPNYQmR0vT,10
#SilakanSimak. Ulasan politisi dan budayawan senior Pak Eros Djarot ttg Kabinet Prabowo ,12
@NataliusPigai2 Mungkin ditahan untuk disampaikan ke masy umum Pak cukup dibahas di rapat kabinet.,14
@tempodotco Kabinet gemuk plus menteri2nya kebanyakan bukan hasil meritokrasi tapi bagi2 kursi. Udah gemuk gak sehat2 amat pulak. Jangankan lari jalan aja susah. Lah jadi kayak boss nya yak ,29
Eh demiapasi wamen2 kabinet skrg begini yg bener ajeeeee,9
@msaid_didu Yang pasti kabinet dan dewan semakin gendut. Diluar efektivitas dan kemampuan anggaran negara.,14
@ArieMulk @regar_op0sisi Para manusia najis ini maunya apa y? woi kampret. Prabowo itu sudah 3x nyapres selalu gagal. Baru kali ini beliau berhasil dan itu karena dukungan Jokowi. Kemarin kalau Jokowi dukung Ganjar selesai sdah impian Prabowo. Wajar kalau kabinet Prabowo masih diisi beberapa wajah lama.,46
@OposisiCerdas mosok sudah berjuang 2 kali ikut pilpres gagal jual diri jadi menhan kabinet si joko udah mau di temanin sama Si Goban terus rela di bunuh gitu? lalu masa akhir hidupya kayak apa mencret.. justru si GOBAN bentar lagi ilang menteri2 ex joko di reshuffle,46
@Neiska21 Dengan adanya desentralisasi semestinya Kabinet dan perangkat lain Pusat tidak terlalu besar sebab Daerah sudah punya otonomi,18
@Jelli_cent @prabowo Lagian tubuh kabinet kok segendut itu sih? Apa ga hambur2 uang gaji aja? Jumlah menteri lebih banyak dari team karnaval. ,22
@regar_op0sisi Para manusia najis ini maunya apa y? woi kampret. Prabowo itu sudah 3x nyapres selalu gagal. Baru kali ini beliau berhasil dan itu karena dukungan Jokowi. Kemarin kalau Jokowi dukung Ganjar selesai sdah impian Prabowo. Wajar kalau kabinet Prabowo masih diisi beberapa wajah lama.,45
@PelatihT1dur Sesekali pak @prabowo .. wakilnya yg pimpin rapat kabinet berikan arahan2 ke menterinya...,14
@msaid_didu Ada tanda2 menuju perbaikan arah Bangsa &amp;Negara Indonesia di hari pertama rapat kabinet merah putih yg suka2 blusukan&amp;kunjungan proyek yg tak bermanfaat kecuali unt pencitraan&amp;pemborosan uang negara harap segera berhenti ikuti arahan pimpinanmu toh kamu tak faham apapun(fufufafa),39
@erlanishere Ayoo buat PETISI Batalkan NURUDDIN jd MENTERI AGAMA. Karna NURUDDIN PEMBELA Zionis Israel &amp; SEKUTU2NYA. DIA akn jd DURI Dalam DAGING. INI Sangat GENTING!DESAK Presiden Untuk Melakukan RESUFFEL KABINET SEGERA! #FreePalestine #GANTIMENTERIAGAMA #BOYYCOTNURUDDIN #NOVIRALNOJUSTICE,35
@ferrykoto Presiden menghormat pada menterinya (LBP) saat sidang kabinet pertama. Semakin kacau...,12
kabinet saling mangsa wkwkwk baguslah,5
hah emang beneran dia jadi mentri? perasaan ga ada di list kabinet merah putih deh,15
@JhonSitorus_18 Dah di bilang ini kabinet balas Budi.. ya gini jadinya ..,12
Maaf yg dapat kerjaan utk kali ini yg pandai jilat yg bau2 partai dan keluarga. Anggaran habis buat gaji mereka yg lain minggir.....nunggu makan gratis saja kalo ada sisa dr anak2 sekolah? Kabinet Zaken Taek!,35
Aksi Awal Kabinet Indonesia Gemoy &gt;Bahlil Men ESDM raih S3 scr kontroversial &gt;Pigai Men HAM minta anggaran naik dr 64 miliar jd 20 T &gt;Yusril Menko Hukum katakan tragedi 98 bukan pelanggaran HAM berat &gt;Yandri Men Desa buat surat dgn kop kementrian utk urusan pribadi https://t.co/48B0hkxqxX,46
Khawatirku Prabowo ntar kecapekan Krn terlalu kenceng pidato menggebu - gebu akhirnya lupa realisasinya. Lihat komposisi dan auranya kabinet ini kabinet rungkad?!,22
@JhonSitorus_18 Ini bkn soal dukung mendukung terhdp program tsb. Tetapi presiden punya alasan yg kuat utk membatalkan program mkn siang gratis dgn pertimbangan : anggaran blum lgi dgn gemuknya kabinet hutang luar negeri dll. Tentu publik paham bhw pendidikan gratis jauh lbh baik.,43
#KomisiAnda Bagaimana agar hasil rapat paripurna kabinet merah putih pertama mampu direalisasikan secara maksimal? Sehingga Indonesia Emas 2045 terwujud. Streaminghttps://t.co/NJaL0w2E21 #E241004 https://t.co/x8XCsmyZ2g,22
@BosPurwa @prabowo Kabinet gonggong goblok dungu bego ini prabowo ini..ga ngerti hrs nya diseret semua era rezim abal2 ini kepengadilan bg yg bersalah secara hukum bukannya dibiar biarkan jd tak terkendali seperti ini ga bisa lu jd pemimpin buktinya zaman mertua lu aja elu diusir pangkatlu copot..,47
Presiden Prabowo diapresiasi sebagai negarawan sejati karena libatkan generasi muda di Kabinet sebut Komandan TKN - Indonesia Insider https://t.co/dfunNQ5dMT,19
Kapasitasnya apa ? Jabatannya diatas menteri ? Sekretaris kabinet diatas menteri diantara Presiden ?? Lalu ada Penasehat Presiden diantara menteri ? Banyak jabatan 'jeda antara Presiden dengan Menteri jadi banyak anggaran gaji yg dibagi dan fungsi struktural yg tidak jelas.,40
@Heraloebss Kapasitasnya apa ? Jabatannya diatas menteri ? Sekretaris kabinet diatas menteri diantara Presiden ?? Lalu ada Penasehat Presiden diantara menteri ? Banyak jabatan 'jeda antara Presiden dengan Menteri jadi banyak anggaran gaji yg dibagi dan fungsi struktural yg tidak jelas.,41
Momen Prabowo Minta Izin Ngopi di Sidang Kabinet Paripurna Perdana https://t.co/iD29ctd33U #News,12
Sidang Kabinet Paripurna Perdana telah secara resmi dibuka oleh Presiden Prabowo. Rabu 23 Oktober 2024.,15
@PelatihT1dur Tegas??? Ketawa aja deh. Menyusun kabinet itu hak preogatif presiden nyatanya kabinet Mulyono jilid 3 gemuk dan banyak wamen serta lembaga ataubkantot atau utusan atau apalah yg ujung-ujung utk balaa jasa pendukung Jokowi. Yang begini mai tegas? Hahaha .....,40
@dinopattidjalal Kan kabinet Zaken pak mereka merasa paling ahli....,9
@aewin86 #GA246 #GA247 #GA248 #GA249 #GA250 Rame-rame disini menyambut Presiden dan Wapres baru. Beserta para menteri kabinet merah putih.,19
@tempodotco Tepatnya kabinet gerombolan,4
@ajinovianto @kumparan Apa yg lu harapin dari kabinet yg diisi lebih banyak pebisnis ys pasti aturan nya bakal ngenakin mereka lah,21
kabinet gemuk tanda presiden ga bisa kerja!,7
Presiden Prabowo saja tdk mempermasalah kan malah terkesan merasa terbantu dan terserah yg mau bilg apa yg penting Presiden happy saja bahkan dlm sidang kabinet akrab saja dgn Gibran.,29
#KabinetBalasJasa? Harapan smg orang baik yg peduli kondisi indonesia yg sdh rusak demokrasi/konstitusinya 10 th terakhir ini jangan gabung di Kabinet Merah Putih krn Presidennya hasil Pilpres 2024 yg berlangsung TDK NORMAL. ORANG BAIK BERSAMA ORANG BAIK. https://t.co/m0p7wnx2bc,38
@ARSIPAJA Belom seminggu mentri udah pelanggaran 2x @prabowo kabinet cap opo toh paak...pak...,13
There must be some kind of research about why society focusing on cheating sexuality and sexual topics MORE THAN real problems. Kabinet gemuk yg baru berapa hari aja blundernya udah bisa dilist sehalaman ppn naik tambang pasir dll TAPI KENAPA TOPIK KITA MASIH SELANGKANGAN??,44
